ID,Forename,Surname,Region,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021
201122,Magdalena,Combs,South-West,1384,528,220,793,462,474,793,1221,16,285,68,143,730,912,286,1174,1156,248,680,481,1104,267,542,1193,1067,1075,1214,953,478,1012,420,827,808,1324,904,932,1078,1326,291,659,154,885,485,288,815,401,231,303,1316,79,370,1330,849,301,116,126,568,803,519,622,422,1023,1124,147,432,601,361,313,822,815,1169,875,662,454,876,320,1224,1018,350,458,629,313,837
201123,Nishat,Weir,Wales,355,418,132,142,219,977,312,847,1012,142,1122,1285,351,810,373,573,922,243,537,746,1253,261,1102,778,671,376,423,193,647,730,1194,360,967,607,552,1340,190,336,1071,788,442,121,2,1228,442,872,1335,858,690,263,822,381,709,1330,324,262,863,640,740,719,1158,309,1005,800,1040,1362,878,776,116,243,1037,398,37,1077,1058,413,463,1269,1119,904,1302,1111,1243
201124,Marlon,Allison,London,216,250,1282,1101,247,492,34,1283,1022,764,559,895,1141,524,1197,712,1245,475,1067,734,302,311,642,122,387,739,1021,694,936,412,277,280,875,1111,317,852,24,202,1079,617,656,803,646,780,412,1283,1162,1263,349,172,778,1132,430,9,1092,581,572,917,308,373,1056,92,544,820,285,796,381,765,814,699,755,1361,50,590,481,160,215,614,954,224,546,253,200
201125,Becky,Bray,South-West,892,916,1350,1291,964,68,1213,1104,1338,491,327,817,1284,619,1198,764,960,1251,1320,1236,327,596,587,765,243,60,449,1212,1380,494,620,24,864,962,198,364,64,604,302,1108,1224,339,874,584,836,107,1001,802,1105,82,212,191,788,716,126,1383,1371,1310,879,786,1029,1051,584,30,263,275,948,817,663,245,744,18,1368,122,248,602,342,426,1057,1139,465,855,188
201126,Adelina,Battle,London,1134,1118,571,1061,210,334,635,610,1322,1021,49,278,102,391,258,395,320,65,708,499,670,111,861,541,1120,325,1266,202,908,1036,1090,746,81,110,964,1290,544,1266,23,233,1215,398,529,149,62,1055,674,838,823,29,1299,982,21,799,810,921,966,1211,453,1063,1274,164,1274,430,1064,824,1318,191,470,1165,786,1364,945,591,509,1227,894,1022,1156,633,38,956,296
201127,Izaac,Miller,West-Midlands,1319,607,595,909,109,1109,1199,255,642,283,510,394,1155,1164,1050,1304,928,980,1227,1172,381,719,549,648,1130,923,452,824,446,884,28,379,873,1148,119,470,1392,642,596,807,771,1186,561,324,617,969,114,1006,0,721,438,558,618,770,1086,445,1254,510,921,1133,155,571,337,484,1054,518,1233,323,894,308,226,698,747,141,113,524,36,927,226,289,1015,769,476
201128,Vinny,Allan,West-Midlands,381,255,486,1286,275,390,446,1076,505,135,626,1133,558,846,494,971,252,76,302,1289,1095,601,103,1311,1091,314,1381,1150,821,1079,1015,841,1174,1342,278,75,545,1225,461,1222,809,221,360,1363,741,41,766,1025,1200,230,1335,979,765,591,938,1025,451,687,807,1137,538,619,336,1352,914,498,259,792,229,1185,961,428,828,658,297,1324,991,937,20,339,1068,483,779
201129,Tasneem,Rhodes,Wales,1189,585,1121,128,1205,175,866,209,6,1389,551,866,1284,56,1146,1056,144,940,15,1033,1303,104,24,24,664,435,556,910,663,841,353,1295,390,530,763,686,749,1147,414,750,1116,921,388,963,1015,450,986,491,1318,623,944,783,543,21,317,1206,1066,1388,103,236,349,292,526,228,961,785,643,1143,340,817,773,888,3,408,848,939,52,1024,631,544,1342,1312,99
201130,Paris,Kirby,South-East,463,1133,719,461,199,1057,742,1003,429,81,1335,945,198,1272,973,772,805,296,69,1192,1193,269,310,3,1299,214,371,129,388,934,238,190,609,708,586,986,763,819,310,778,441,51,728,556,283,146,251,588,945,492,1254,444,1363,988,477,1333,396,273,117,1052,378,380,8,306,231,1003,817,942,679,638,1127,670,832,688,75,469,920,803,234,564,494,896,1257
201131,Jaidan,Alston,South-West,702,349,679,91,648,195,1237,1101,1117,986,650,1333,10,480,131,1314,1284,1141,113,1113,762,1395,107,1056,896,980,353,750,898,744,286,126,1146,109,359,76,967,101,202,1132,573,720,779,429,1144,684,77,1294,390,214,1238,1388,768,366,271,46,1325,325,685,1202,209,260,704,270,467,1106,1079,1021,784,626,8,971,282,1290,802,1246,35,1116,285,431,1030,1369,1081
201132,Tyrese,Lennon,London,1026,13,1386,31,981,966,425,1076,1043,1125,985,940,119,719,1376,41,771,1238,959,882,1081,730,1143,1129,729,725,615,73,798,166,11,1082,1169,954,61,414,456,506,720,354,552,986,432,1101,999,772,669,1326,617,640,692,18,864,558,746,276,259,99,1030,1373,1032,466,335,232,198,161,546,783,355,836,606,301,146,246,811,1328,1004,1209,412,1062,1128,351,1045
201133,Alexie,Nunez,South-East,819,1079,851,1086,950,116,557,1054,1223,702,17,394,241,910,948,1372,882,1294,83,1019,194,90,923,214,1337,1073,670,483,1201,425,194,848,989,825,380,158,917,427,1305,1299,1353,19,677,343,918,546,911,739,896,812,650,1031,1005,1270,555,155,1179,1271,1005,883,40,1235,1006,1015,440,626,1101,1294,332,889,1302,593,1157,585,536,184,683,1156,619,437,1215,738,33
201134,Rio,Travis,West-Midlands,1232,656,1066,936,938,1147,553,445,1293,1322,719,1181,443,858,779,1176,90,1269,302,232,506,166,1070,396,280,756,989,841,233,525,702,503,1144,762,320,1387,503,501,330,793,1376,1306,449,229,1025,498,1388,80,162,74,448,903,837,794,895,1259,723,1081,542,990,146,534,129,47,910,838,217,470,124,507,1371,945,1314,192,1058,452,315,285,707,1279,1008,1370,1246
201135,Evie,Benitez,London,201,467,861,840,19,1078,416,242,289,826,490,85,542,1389,1359,1039,232,223,1374,138,1067,1384,220,311,360,112,1052,212,137,482,235,337,1238,499,266,167,848,133,1002,195,493,893,456,111,19,756,167,739,1310,656,937,378,166,123,409,98,71,1392,85,441,725,287,1096,1027,1182,1150,36,669,1016,66,488,481,231,946,120,354,1310,1399,1373,1226,1080,1363,1339
201136,Holli,Sweet,South-East,824,1060,246,72,1261,682,1324,767,121,434,124,470,908,117,215,719,186,108,117,179,235,438,143,605,255,985,120,413,1362,828,1049,609,752,827,1259,349,743,1143,697,367,1385,1256,1381,995,1328,520,420,276,289,1108,215,467,857,401,1115,743,1059,163,1077,21,1050,488,820,1312,469,273,1178,1129,653,426,1385,481,1110,1375,1249,1207,974,1152,685,1329,112,8,1366
201137,Brooklyn,Sharples,Wales,1390,921,436,893,1006,858,785,1043,617,1285,1052,635,221,744,10,589,841,954,922,1317,1075,1213,1284,942,315,472,1352,264,123,298,1277,402,1286,530,1104,560,1234,233,315,443,122,324,1030,409,450,658,1048,806,791,488,633,1054,221,932,960,266,317,318,988,628,650,1303,1006,516,1019,260,938,1276,972,856,1082,218,307,440,1016,276,1163,1377,774,919,538,1077,115
201138,Ioan,Wu,South-West,781,766,1253,1340,794,441,532,12,1256,154,411,1213,222,199,880,410,594,1049,105,285,810,809,851,1352,922,873,1030,789,1197,942,1055,933,1375,470,137,1256,802,1348,441,859,807,1156,570,1299,460,698,394,131,928,1067,961,989,1214,1179,329,324,268,27,924,561,1340,1397,1259,986,903,1271,1311,237,1351,308,167,1165,89,1214,478,630,300,277,249,467,495,269,763
201139,Tim,Penn,South-West,1334,613,528,736,696,1287,1337,874,467,1009,1014,1044,333,815,1391,1091,756,1188,892,499,719,1305,145,269,572,693,787,1296,3,807,39,1151,85,1305,156,85,993,714,1065,797,298,1030,158,1189,1386,151,1191,1008,1114,755,335,1369,1193,556,399,859,1161,1132,322,458,1291,850,258,1248,925,444,955,445,522,750,1294,403,470,11,1130,645,585,782,616,567,407,1083,373
201140,Salma,Clemons,West-Midlands,786,1112,142,548,72,567,873,158,1313,682,285,1341,1366,511,309,4,885,423,1138,360,777,415,801,159,30,920,573,749,737,653,980,1064,742,1277,1245,862,482,74,172,285,1027,640,1312,818,1261,1184,574,30,789,1305,909,869,165,504,59,498,162,201,734,1052,452,231,948,1088,720,441,491,65,449,469,921,723,321,211,1300,538,1386,378,611,738,897,112,130
